12/05-14:47:35.734907 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x7E,***AP***,0x4E928C75,0xF2715513,,0x1F5,64,16,60208,112,114688,,,,
12/05-14:47:36.540259 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E928CDD,0xF271553F,,0x1F5,64,16,60210,104,106496,,,,
12/05-14:47:37.041005 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E928D3D,0xF271556B,,0x1F5,64,16,60212,104,106496,,,,
12/05-14:47:37.075987 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E928D9D,0xF2715597,,0x1F5,64,16,60214,104,106496,,,,
12/05-14:47:37.103366 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E928DFD,0xF27155C3,,0x1F5,64,16,60216,104,106496,,,,
12/05-14:47:37.133000 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E928E5D,0xF27155EF,,0x1F5,64,16,60218,104,106496,,,,
12/05-14:47:37.163671 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E928EBD,0xF271561B,,0x1F5,64,16,60220,104,106496,,,,
12/05-14:47:37.194934 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E928F1D,0xF2715647,,0x1F5,64,16,60222,104,106496,,,,
12/05-14:47:37.242752 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E928F7D,0xF2715673,,0x1F5,64,16,60224,104,106496,,,,
12/05-14:47:37.255784 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E928FDD,0xF271569F,,0x1F5,64,16,60226,104,106496,,,,
12/05-14:47:37.286425 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E92903D,0xF27156CB,,0x1F5,64,16,60228,104,106496,,,,
12/05-14:47:37.316284 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E92909D,0xF27156F7,,0x1F5,64,16,60230,104,106496,,,,
12/05-14:47:37.349347 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x66,***AP***,0x4E9290FD,0xF2715723,,0x1F5,64,16,60232,88,90112,,,,
12/05-14:47:37.387869 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E929181,0xF271574F,,0x1F5,64,16,60235,104,106496,,,,
12/05-14:47:37.882935 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E9291E1,0xF271577B,,0x1F5,64,16,60237,104,106496,,,,
12/05-14:47:38.486338 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E929241,0xF27157A7,,0x1F5,64,16,60239,104,106496,,,,
12/05-14:47:38.830394 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E9292A1,0xF27157D3,,0x1F5,64,16,60241,104,106496,,,,
12/05-14:47:39.380906 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x6E,***AP***,0x4E929301,0xF27157F7,,0x1F5,64,16,60243,96,98304,,,,
12/05-14:47:39.543880 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E92938D,0xF271581B,,0x1F5,64,16,60246,104,106496,,,,
12/05-14:47:39.703985 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x6E,***AP***,0x4E9293ED,0xF271583F,,0x1F5,64,16,60248,96,98304,,,,
